food_name,emoji,calorie,carb,sugar,Protein (g),fat,Saturated Fat (g),Monounsaturated Fat (g)       ,Polyunsaturated Fat (g),Total Fiber (g),Cholesterol (mg),Vitamin B6 (mg),Vitamin A (IU),Vitamin B12 (ug),Vitamin C (mg),Vitamin D (IU),Vitamin E (IU),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Niacin (mg),Folate (ug),Pantothenic Acid (mg),Choline (mg),Calcium (g),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (g),Potassium (g),Selenium (ug),Sodium (g),Zinc (mg)
rice,🍚,1.3,0.2859,0,0.0238,0.0021,0.00057,0.00065,0.00056,0.003,0,0.0005,0,0,0,0,0,0,0.00167,0.00016,0.01835,0.58,0.00411,0,0.03,0.00038,0.0149,0.13,0.00377,0.37,0.29,0.075,0,0.0042
spaghetti,🍝,1.57,0.3059,0.0056,0.058,0.0093,0.00176,0.00131,0.00326,0.018,0,0.00049,0,0,0,0,0.0006,0,0.00274,0.00136,0.01689,0.73,0.00112,0,0.07,0.001,0.0128,0.18,0.00322,0.58,0.44,0.264,1.31,0.0051
fried shrimp,🍤,3.08,0.2799,0.001,0.0784,0.189,0.03843,0.11905,0.01593,0.007,0.58,0.0006,1.09,0.0053,0,0.01,0.0252,0.047,0.0006,0.0002,0.0124,0.43,0,0.506,0.29,0.00097,0.0086,0.16,0.00172,1.85,0.82,0.097,8.97,0.0058
ice cream,🍨,2.22,0.222,0.2116,0.041,0.13,0.0746,0.0349,0.0046,0.007,0.91,0.00048,5.89,0.005,0.008,0.29,0.0061,0.009,0.00049,0.00182,0.00095,0.09,0.00506,0.26,1.31,0.0003,0.0021,0.12,0.00005,1.16,1.77,0.03,0.61,0.0052
doughnut,🍩,4.17,0.574,0.3192,0.045,0.199,0.05132,0.11278,0.02477,0.022,0.57,0.00027,0.39,0.001,0.001,0,0.0021,0.098,0.00045,0.0007,0.0047,0.45,0.00342,0.291,2.13,0.00191,0.0227,0.34,0.0037,1.62,1.06,0.041,2.15,0.0057
cookie,🍪,4.97,0.661,0,0.046,0.252,0.08316,0.13077,0.0262,0,0,0.00017,0.04,0,0,0,0,0,0.00195,0.00205,0.0199,0.51,0.00171,0,0.43,0.003,0.0207,0.36,0.00363,0.8,2.08,0.024,2.9,0.006
cake,🍰,3.71,0.534,0,0.053,0.151,0.0543,0.06039,0.02761,0.016,0.58,0.00041,1.4,0.0016,0.002,0,0,0,0.00141,0.00213,0.01137,0.27,0.00304,1.284,0.6,0.00207,0.0161,0.32,0.0028,1.06,1.4,0.119,3.15,0.0069
chocolate bar,🍫,5.18,0.6459,0.4868,0.0651,0.2599,0.17953,0.05844,0.00895,0.01,0.11,0.0002,0.81,0.0056,0,0,0.0034,0.052,0.00117,0.0021,0.005,0.14,0.0064,0.31,1.25,0.0022,0.01,0.37,0.001,1.35,2.31,0.05,0.54,0.0009
candy,🍬,3.94,0.98,0.629,0,0.002,0,0,0,0,0,0.00003,0,0,0,0,0,0,0.00004,0.00003,0.00007,0,0.00008,0,0.03,0.00029,0.003,0.03,0.0001,0.03,0.05,0.006,0.38,0.0001
custard flan,🍮,1.45,0.2278,0.2315,0.0453,0.0403,0.01799,0.01266,0.00392,0,0.9,0.00044,1.61,0.0036,0,0,0.0023,0.002,0.00032,0.0021,0.00082,0.09,0.00514,0,0.83,0.00028,0.0038,0.09,0.0001,0.96,1.18,0.087,0.53,0.0047
honey,🍯,3.04,0.824,0.8212,0.003,0,0,0,0,0.002,0,0.00024,0,0,0.005,0,0,0,0,0.00038,0.00121,0.02,0.00068,0.022,0.06,0.00036,0.0042,0.02,0.0008,0.04,0.52,0.008,0.04,0.0022
milk,🥛,0.64,0.0465,0,0.0328,0.0366,0.02278,0.01057,0.00136,0,0.14,0.00042,1.38,0.0036,0.015,0,0,0,0.00038,0.00161,0.00084,0.05,0.00313,0,1.19,0.0001,0.0005,0.13,0.00004,0.93,1.51,0.02,0.49,0.0038
black tea,🍵,0.01,0.003,0,0,0,0.00002,0.00001,0.00004,0,0,0,0,0,0,0,0,0,0,0.00014,0,0.05,0.00011,0.004,0,0.0001,0.0002,0.03,0.00219,0.01,0.37,0,0.03,0.0002
sake,🍶,1.34,0.05,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.00009,0.001,0.06,0,0.06,0.25,0.014,0.02,0.0002
champagne,🍾,0.84,0.0216,0.0096,0.0007,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0.00005,0.00015,0.00108,0.01,0.00045,0,0.09,0.00004,0.0027,0.1,0.00117,0.18,0.71,0.001,0.05,0.0012
red wine,🍷,0.85,0.0261,0.0062,0.0007,0,0,0,0,0,0,0.00057,0.02,0,0,0,0,0.004,0.00005,0.00031,0.00224,0.01,0.0003,0.057,0.08,0.00011,0.0046,0.12,0.00132,0.23,1.27,0.002,0.04,0.0014
beer,🍺,0.43,0.0355,0,0.0046,0,0,0,0,0,0,0.00046,0,0.0002,0,0,0,0,0.00005,0.00025,0.00513,0.06,0.00041,0.101,0.04,0.00005,0.0002,0.06,0.00008,0.14,0.27,0.006,0.04,0.0001
