,food_name,glycemic_index(GI),sugar
989,"SlimFast® Pasta Florentina meal (SlimFast Foods, UK)",53,12
990,"Tony Ferguson's Meal Replacement Shake,  22",22,6
991,"Designer chocolate, sugar-free",14,3
992,Chocolate deluxe,29,2
993,Peanut butter,23,1
994,Chewy choc-chip,30,4
995,Chocolate deluxe,38,5
996,Peanut butter,22,2
997,Strawberry shortcake,43,6
998,White chocolate mousse,40,6
999,Choc-chip cookie dough,25,3
1000,Coconut,42,4
1001,Peanut butter,37,3
1002,"Beef and ale casserole, convenience meal (Finest, UK)8",53,8
1003,"Berrynice Yoghurt Crunch (low fat yoghurt,",43,15
1004,"Fillet-O-FishTM burger (fish patty, cheese and tartare 6",66,20
1005,"Hamburger (beef patty, ketchup, pickle, onion and",66,17
1006,"Lean beef burger (lean beef patty, tomato, mixed",66,17
1007,"McChickenTM burger (chicken patty, lettuce,",66,26
1008,"Vege Burger (vegetable patty, lettuce, tomato and",59,14
1009,"Cannelloni, spinach and ricotta (UK)",15,8
1010,"Chicken korma and peshwari rice, prepared meal",44,21
1011,"Chicken korma and rice, convenience meal",45,21
1012,"Chicken nuggets, frozen, reheated in",46,7
1013,Chicken McNuggetsTM consumed with sweet Thai,55,12
1014,"Chicken tikka masala and rice, convenience meal",34,21
1015,"Chilli beef noodles, prepared convenience meal",42,19
1016,"Chilli con carne, made from haricot beans (Australia)",34,12
1017,"Chow mein, chicken, convenience meal8",55,13
1018,"Chow mein, chicken, convenience meal",47,18
1019,"Wholegrain Pasta & Sauce, Cheesy, prepared",37,8
1020,"Wholegrain Pasta & Sauce, Creamy Carbonara,",39,9
1021,"Wholegrain Pasta &  Sauce, Creamy Sun-dried Tomato,",43,10
1022,"Wholegrain Pasta & Sauce, Parmesan and Cracked",33,7
1023,Cottage pie (UK),65,22
1024,Cumberland fish pie (UK),40,12
1025,Cumberland pie (UK),29,11
1026,"Dates, Khalas (Rutab, soft early ripened) (90 g),",37,19
1027,"Dates, Khalas (Tamer, dark brown commercial) (60 g),",29,15
1028,"Dumpling, containing meat and shallots (China)",28,6
1029,"Fajitas, chicken (UK) 4",42,18
1030,"Greek lentil stew with a bread roll, home made",40,15
1031,"Kidney beans, (canned) with bacon and tomatoes",36,12
1032,"Kidney beans, (cooked from dried beans) with bacon",21,7
1033,"Lamb moussaka, prepared convenience meal8",35,10
1034,"Lasagne, beef (frozen) (UK)",47,17
1035,"Lasagne, meat (Healthy Living, chilled, UK)",28,11
1036,"Lasagne, type NS (Finest, UK)",34,10
1037,"Lasagne, type NS (UK)",25,8
1038,"Lasagne, vegetarian (UK)",20,10
1039,Lentil and cauliflower cury with rice (Australia) 6,60,25
1040,Lentil and cheese pie (Australia),25,11
1041,Mushroom stroganoff with rice (UK),26,11
1042,"Pasta bake, tomato and mozzarella (UK)",23,10
1043,"Fusilli pasta twists (Tesco Stores Ltd, UK), boil",28,
1044,"Fusilli pasta twists (Tesco Stores Ltd, UK), boil",27,
1045,"Fusilli pasta twists (Tesco Stores Ltd, UK), boil",40,
1046,"Pies, beef, party size (Farmland,",45,12
1047,"Pizza, Super Supreme, pan (11.4% fat)",36,9
1048,"Pizza, Super Supreme, thin and crispy (13.2 % fat)",30,7
1049,"Pizza, Vegetarian Supreme, thin and crispy (7.8 % fat)",49,12
1050,"Stone Baked Whole Wheat Pizza - Vegetable, Pesto",54,11
1051,"Potato, Estima (50 g), microwaved 6 min then",62,23
1052,"Potato, Estima (50 g), microwaved 6 min then",76,20
1053,"Potato, Estima (50 g), microwaved 6 min then baked",39,10
1054,"Potato, Estima (50 g), microwaved 6 min then baked",75,23
1055,Potato noodles with meat (China),17,8
1056,Barley Risotto with Herbed Chicken (entree),38,15
1057,"4-Bean Salad, low-fat",13,1
1058,Cauliflower-Topped Shepherd's Pie (entree),21,4
1059,Chicken Curry with Vegetables (entree),26,3
1060,Deluxe Cheddar Macaroni & Cheese Dinner,34,13
1061,Ginger-Glazed Salmon (entree),41,18
1062,Lentil and Bean Vegetable Patties,54,15
1063,Linguine with Shrimp Marinara (entree),40,11
1064,Penne with Roasted Vegetables (entree),39,17
1065,Rotini with Chicken Pesto (entree),57,25
1066,3-Rice Bayou Blend Rice & Beans Sidedish,44,15
1067,4-Rice Pilaf Rice & Beans Sidedish,46,16
1068,Rice & Lentils Espana Sidedish,49,17
1069,Sesame Ginger Chicken with Vegetables (entree),44,8
1070,Tomato and Herb Chicken (entree),29,9
1071,Vegetable Ancient Grain Vegetable Patties,54,14
1072,Vegetarian Chili,39,11
1073,Yellow Curry Chicken (entree),25,4
1074,"Sausages and mash potato, prepared",61,25
1075,Sirloin chop with mixed vegetables and mashed 6,66,35
1076,"Shepherds pie, prepared convenience meal (UK)",66,29
1077,"Spaghetti bolognaise, home made (Australia)",52,25
1078,Steak and ale with cheddar mash potato8 4,48,12
1079,"Stuffed bun, with shallots and meat, steamed (China)",39,12
1080,"Sushi, salmon ('I Love Sushi', Sydney, Australia)8",48,17
1081,"Sweet and sour chicken with noodles, prepared",41,21
1082,Tandoori chicken masala & rice convenience meal,45,27
1083,Chicken Tandoori Deli Choice white French roll,78,44
1084,Chicken Tandoori Deli Choice Multigrain roll,67,32
1085,Turkey & Cranberry Deli Choice Multigrain roll,63,34
1086,White bread roll with cheese (UK),50,20
1087,"White bread consumed with margarine, eggs and",58,
1088,"White bread (30 g), toasted, served with",50,11
1089,"White bread (30 g), toasted, served with cheddar",35,5
1090,"Choiced m TM, vanilla (Mead Johnson Nutritionals,  23",23,6
1091,"Diasip®, diabetes-specific enteral formula8 12",12,3
1092,"Diason®/Nutrison Diabetes, diabetes-specific enteral8 17",17,5
1093,"Diben®, diabetes-specific enteral formula8 22",22,5
1094,"Enercal PlusTM, made from powder (Wyeth-Ayerst  61±1",61,24
1095,"EnsureTM, vanilla (Abbott Australasia, Kurnell,  50±",50,19
1096,"EnsureTM, vanilla (Abbott Australasia) 48±",48,16
1097,"EnsureTM bar, chocolate fudge brownie",43,8
1098,"EnsureTM Hospital, nutritional supplement powder, 51",51,3
1099,"Ensure PlusTM, vanilla (Abbott Australasia) 40±",40,19
1100,"Ensure PuddingTM, old fashioned vanilla",36,9
1101,"Fortimel® enteral formula (Nutricia N.V., Netherlands)8 25",25,6
1102,Glucerna Chocolate Graham nutritiona,20,5
1103,"Glucerna, diabetes-specific enteral formula  15",15,4
1104,"GlucernaTM, vanilla flavor8 19",19,4
1105,"GlucernaTM, vanilla flavor8 20",20,4
1106,"GlucernaTM, vanilla flavor (Ross Nutrition, Canada) 26",26,8
1107,"GlucernaTM, vanilla (Abbott Laboratories Inc., USA)8 31",31,8
1108,"Glucerna Select, enteral nutritional supplement8 16",16,2
1109,"Glucerna SR, diabetes-specific enteral formula 23",23,6
1110,InslowTM (Abbott Nutrition International -Japan)8 25,25,6
1111,JevityTM (Abbott Australasia) 48±,48,17
1112,"JevityTM HiCal, enteral nutritional supplement 59±",59,27
1113,"Novasource Diabet®, diabetes-specific enteral formula8 26",26,8
1114,Nutrison Mutli fiber® enteral formula8 28±,28,9
1115,Nutrison Standard® enteral formula8 34±,34,10
1116,Promote with fiberTM nutritional supplement 49±,49,16
1117,"ProsureTM, ready-to-drink supplement, vanilla flavor  54±",54,20
1118,"ProsureTM, ready-to-drink supplement, vanilla flavor  55±",55,23
1119,"Resource DiabeticTM, French vanilla (Novartis 34",34,8
1120,"Resource DiabeticTM, Swiss chocolate  1",16,7
1121,"ResourceTM fruit beverage, peach flavor  40±",40,16
1122,"ResourceTM thickened orange juice,  47±",47,18
1123,"ResourceTM thickened orange juice,  54±",54,19
1124,"SustagenTM, Dutch Chocolate (Mead Johnson,  31±",31,13
1125,"SustagenTM Hospital with extra fiber, drink made 33±",33,15
1126,"SustagenTM Instant Pudding, vanilla, made from",27,13
1127,TapionTM nutritonal supplement (Abbott Nutrition 27,27,7
1128,"TwoCal HNTM, high nitrogen nutritional supplement, 55±",55,27
1129,"Cashew nuts, salted (Coles Supermarkets, Australia)",22,3
1130,Cashew nuts (UK),25,3
1131,"Cashew nuts, organic, roasted and salted (UK)8",25,3
1132,Cashew nut halves (UK),27,3
1133,"Cashew nuts, roasted and salted (UK)",27,3
1134,Mixed nuts and raisins (UK,21,3
1135,"Mixed nuts, roasted and salted (UK)",24,4
1136,"Peanuts, crushed (South Africa",7,0
1137,Buckwheat noodles (China),59,25
1138,"Buckwheat noodles, instant (China)",53,22
1139,"Corn pasta, gluten-free (Orgran Natural Foods,",68,31
1140,"Corn pasta, gluten-free  7",78,32
1141,"Fettucine, egg (Australia)",32,15
1142,"Fettucine, egg (Mother Earth Fine Foods,",47,22
1143,"Fusilli pasta twists (Tesco Stores Ltd, UK),",61,29
1144,"Fusilli pasta twists, dry pasta, boiled in 10 min 5",54,26
1145,"Fusilli pasta twists, tricolour, dry pasta,  5",51,23
1146,"Fusilli pasta twists, wholewheat, dry pasta, boiled",55,23
1147,"Gnocchi, type NS (Latina, Pillsbury Australia Ltd,",68,33
1148,"Instant 'two-minute' noodles, Maggi®",46,11
1149,"Instant 'two-minute' noodles, Maggi®",48,12
1150,"Instant 'two-minute' noodles, Maggi®, all flavors",52,13
1151,"Instant noodles, all flavors (Woolworths Limited,",52,11
1152,"Lasagne sheets, dry pasta, boiled in unsalted water",55,26
1153,"Lasagne, egg, dry pasta, boiled in unsalted water (UK)",53,23
1154,"Lasagne, egg, verdi, dry pasta, boiled in",52,23
1155,"Mung bean noodles (Longkou beanthread),",39,18
1156,"Proti pasta, protein-enriched, boiled in water",28,14
1157,"Ravioli, durum wheat flour, meat filled, boiled (Australia)",39,15
1158,"Rice noodles, dried, boiled (Thai World,",61,23
1159,"Rice noodles, freshly made, boiled",40,15
1160,"Rice pasta, brown, boiled 16 min",92,35
1161,"Rice and maize pasta, gluten-free, Ris'O'Mais",76,37
1162,"Spaghetti, gluten-free, rice and Hi-Maize",51,25
1163,"Spaghetti, gluten-free, rice and split pea,",68,19
1164,"Spaghetti, soy (Revival Soy®, Physicians",47,17
1165,"White, boiled 15 min in salted water",44,21
1166,"White, durum wheat, boiled 20 min  (Australia)",58,26
1167,"White (Unico, Canada)",48,23
1168,"White (Vetta, Greens Foods, Glendenning, Australia)",49,22
1169,White (Canada),50,24
1170,Boiled in 0.7% salted water for 11 min 5,59,28
1171,Boiled in 0.7% salted water for 16.5 min 6,65,31
1172,Boiled in 0.7% salted water for 22 min 4,46,22
1173,Wholemeal (Canada),42,17
1174,President's Choice® Blue MenuTM Whole Wheat,45,18
1175,"Spirali, durum wheat, white, boiled to al dente texture 4",43,19
1176,"Split pea and soya pasta shells, gluten-free",29,9
1177,"Tagliatelle, egg pasta, boiled in water for 7 min (UK)",46,20
1178,"Tagliatelle, egg, boiled (Sainsbury's, UK)",54,24
1179,"Udon noodles, plain, reheated 5 min (Fantastic,",62,30
1180,"Vermicelli, white, boiled, VettaTM (Australia)",35,16
1181,"Wheat noodle, dried (China)",46,19
1182,"Wheat noodle, fresh (China)",82,34
1183,"Chick Pea chips (Freedom Foods, Australia",44,8
1184,"Chocolate, dark, Dove® (M&M/Mars, USA",23,6
1185,"Chocolate, dark with raisins, peanuts and jam",44,12
1186,"Chocolate, milk, plain with sucrose (Belgium)",34,7
1187,"Chocolate, milk (Cadbury's Confectionery,",49,14
1188,"Chocolate, milk, Dove® (Mars Confectionery,",45,13
1189,"Chocolate, milk (Nestlé, Sydney, NSW, Australia)",42,13
1190,"Chocolate candy, sugar free, Dove",23,3
1191,"Chocolate, white, Milky Bar® (Nestlé, Australia)",44,13
1192,CocoaviaTM Chocolate Covered Almond,21,2
1193,Combos Snacks Cheddar Cheese Crackers,54,17
1194,Combos Snacks Cheddar Cheese Pretzels,52,18
1195,"Corn chips, plain, salted (DoritosTM original,",42,11
1196,"Flaxseed Tortilla chips, Sea Sal",45,9
1197,"Flaxseed Tortilla chips, Spic",34,7
1198,Japanese Tamari Rice & Corn Crisps,91,35
1199,Japanese Wasabi & Honey Rice & Corn Crisps,82,32
1200,Thai Curry Rice & Corn Crisps,84,33
1201,"Fruit and nut mix (Finest, UK",15,4
1202,"Apple Fruit Bar, fat-free, President's Choice® Blue",90,27
1203,Apricot and Almond bar (UK,34,5
1204,Apricot filled fruit bar (pureed dried apricot filling,50,17
1205,"Apricot & Yoghurt Healtheries Simple Bar, wheat",40,10
1206,"Berry & Yoghurt Healtheries Simple Bar, wheat",51,13
1207,Berrylicious Trim Bar,46,8
1209,"Fig Fruit bar, President's Choice® Blue MenuTM",70,21
1210,Fruit & Yogurt Apple Cinnamon Chewy Bars (Soy),34,7
1211,Fruit & Yogurt Cranberry Blueberry Bars (Soy),33,7
1212,"Heinz KidzTM Fruit Fingers, banana (HJ Heinz, Australia)",61,12
1213,"Raspberry Fruit bar, fat-free, President's Choice®",74,23
1214,"Real Fruit Bars, strawberry (Uncle Toby's, Australia)",90,23
1215,"Roll-Ups®, processed fruit snack",99,24
1217,"Gelati, sucrose-free frozen dessert, chocolate flavor",37,10
1218,"Gelati, sucrose-free frozen dessert, vanilla flavor",39,11
1219,"ChocolloTM, low-fat chocolate flavored ice",44,8
1220,"ChocolloTM, low-fat chocolate flavored",55,15
1221,"Jelly, made from commercial jelly crystals,",53,10
1222,"Jelly beans, assorted colors (Allen's, Nestlé, Australia)",80,22
1223,"Jelly beans, assorted colors (Savings,",76,21
1224,Kudos Milk Chocolate Granola bar with M&M's Milk,52,18
1225,"Kudos Whole-Grain bars, chocolate chip",62,20
1226,"Kudos Milk Chocolate Granola bars,",45,14
1227,"Licorice, soft (Coles Supermarkets, Australia)",78,16
1228,"Life Savers®, peppermint candy (Nestlé, Australia)",70,21
1229,"M & M's®, peanut (Mars Confectionery, Australia",33,6
1230,"Mars Bar® (Mars Confectionery, Australia)",62,25
1231,"Mars Bar® (M&M/Mars, USA)",68,27
1232,"Marshmallows (Candy Lane, Australia)",62,15
1233,"Milky Way® bar (M&M/Mars, USA)",62,26
1234,"Milky Way® Lite bar (M&M/Mars, USA)",45,15
1235,"Muesli bar, crunchy, containing dried apricot",61,13
1236,"Nutella®, chocolate hazelnut spread (Ferrero",33,4
1237,"Nutella®, chocolate hazelnut sprea",30,4
1238,"Nutella®, chocolate hazelnut sprea",25,3
1239,"Pirate's Booty, aged white cheddar extruded snack,",70,8
1240,"Microwave Popping Corn, butter flavor, President'",72,9
1241,"Microwave Popping Corn, natural flavor, President'",58,7
1242,Popcorn (China,55,6
1243,"Popcorn, plain, cooked in microwave ove",55,6
1244,"Poppin Microwave Popcorn, butter flavo",62,6
1245,"Poppin Lite Microwave Popcorn, butter flavor,",67,7
1246,"Pop TartsTM, double choc (Kellogg's, Australia)",70,24
1247,"Potato crisps, plain, salted (Canada)",51,12
1248,Potato crisps (China),60,12
1249,President's Choice® Blue MenuTM Original and,66,25
1250,"Pretzels, oven-baked, traditional wheat flavor",83,16
1251,"Pretzels, oven-baked, traditional wheat flavor, 97%",84,20
1252,Puffed rice squares (Czech Republic),77,19
1253,"Skittles® (Mars Confectionery, Australia)",70,32
1254,"Chewy Chocolate Chip & Marshmallow Granola Bar,",78,16
1255,"Chewy Cranberry Apple Granola Bar,",58,12
1256,"Chocolate Healtheries Simple bar, wheat and gluten",35,10
1257,"Chocolate Raspberry ZingTM bar (Revival Soy®,",47,2
1258,CocoaviaTM Chocolate Almond Snack bar,63,17
1259,"CocoaviaTM Cripsy Chocolate Bar (M&M/Mars, USA",33,8
1260,ExtendBarTM Apple Cinnamon Delight Bar,33,5
1261,ExtendBarTM Chocolate Delight Ba,41,7
1262,"ExtendBarTM Peanut Delight Bar (ExtendBar, USA",32,5
1263,"Munch Peanut Butter bar (M&M/Mars, USA",27,5
1264,"Peanut Butter Chocolate PalTM bar (Revival Soy®,",52,13
1265,"60% Whole Wheat Fig Fruit bar, President's",72,26
1266,"Slimfast® Meal Options bar, rich chocolate brownie",64,21
1267,"Snack bar, Apple Cinnamon (Con Agra Inc.,",40,12
1268,"Snack bar, Peanut Butter and Choc-Chip",37,10
1269,"Trim bar, Chocorama",31,4
1270,"Trim Bar, Mocha flavor (Aussie Bodies",25,3
1271,"Snickers Bar® (Mars Confectionery, Australia)",41,15
1272,"Snickers Bar® (M&M/Mars, USA)",43,15
1273,Apple Soy Joy Ba,19,2
1274,Apricot Soy Joy Ba,27,3
1275,Chocolate Orange Soy Joy Ba,41,5
1276,Mango Coconut Soy Joy Ba,28,3
1277,Plum + Fe Soy Joy Ba,25,3
1278,Plum + Folic acid Soy Joy Ba,27,3
1279,Raisin Almond Soy Joy Ba,28,3
1280,Sanzashi Soy Joy Ba,29,4
1281,Strawberry Soy Joy Ba,33,4
1282,"SunshineTM soy protein chips, lightly salted8",87,23
1283,"Tropical fruit and nut mix (Finest, UK)",49,14
1284,"TwistiesTM, cheese-flavored, extruded snack,",74,22
1285,"Twix® Cookie Bar, caramel (M&M/Mars, USA)",44,17
1286,"Yummiees lollies (Allseps Pty. Ltd., Australia",43,2
1287,"Clif bar, Chocolate Brownie Energy bar",57,22
1288,"Performance Chocolate Energy bar (Power Bar, USA)",53,22
1289,"Power Bar®, chocolate",58,24
1290,SmartZone Chocolate flavor,11,2
1291,SmartZone Chocolate flavor,16,3
1292,SmartZone Crunchy Blueberry flavor,15,3
1293,SmartZone Crunchy Chocolate Brownie flavor,23,4
1294,SmartZone Crunchy Chocolate Caramel flavo,16,3
1295,SmartZone Crunchy Chocolate Peanut Butter flavo,14,3
1296,SmartZone Crunchy Key Lime flavor,14,3
1297,SmartZone Peanut Butter flavor,18,3
1298,Chewy Chocolate Peanut flavor,36,9
1299,Cookies & Creme flavor,50,14
1300,Multi Grain Crunch flavor,50,14
1301,Peanut Butter flavor,34,8
1302,Chocolate Fudge Brownie flavo,20,2
1303,Peanut Butter flavo,21,2
1304,Dark Chocolate Crunch flavo,49,5
1305,Honey & Roasted Almond flavo,41,4
1306,Caramel Nut Rush flavo,26,6
1307,Chocolate Nut Burst flavo,32,6
1308,SoLo GI Berry Bliss Nutrition ba,29,6
1309,SoLo GI Chocolate Charger Nutrition ba,28,6
1310,SoLo GI Lemon Lift Nutrition bar,29,6
1311,SoLo GI Mint Mania Nutrition ba,23,5
1312,SoLo GI Peanut Power Nutrition ba,27,5
1313,SoLo GI Berry Bliss Snack ba,29,3
1314,SoLo GI Chocolate Charger Snack ba,28,3
1315,SoLo GI Lemon Lift Snack bar,29,3
1316,SoLo GI Mint Mania Snack ba,23,2
1317,SoLo GI Peanut Power Snack ba,27,3
1318,"VO2 Max Chocolate Energy bar (M&M/Mars, USA)",49,22
1319,"ZonePerfect Nutrition bar, Double Chocolate flavo",44,8
1320,"Barley Vegetable Instant soup, low-fat,",41,11
1321,"Carrot soup, President's Choice® Blue MenuTM",35,5
1322,Chicken and mushroom soup (UK)24,46,8
1323,Chicken and mushroom soup (UK)24 6,69,13
1324,"Chicken & Vegetable with wholegrain pasta, Country",43,5
1325,"Garden vegetable soup with peppers and croutons,",20,5
1326,"Indian Lentil Instant soup, low-fat,",62,12
1327,"Lentil, ready-to-serve, President's Choice® Blue",57,11
1328,"Minestrone, condensed, prepared with water",48,18
1329,"Minestrone, Traditional, Country Ladle®",39,7
1330,"Minestrone & Pasta Instant soup, low-fat,",54,22
1331,"Mushroom Barley, ready-to-serve, President's Choice®",45,3
1332,"Pasta & Fagioli soup, ready-to-serve, President's",52,10
1333,"Pumpkin Soup, creamy, Heinz® Very SpecialTM, with",76,14
1334,"Spicy Black Bean Instant soup, low-fat, President's",57,18
1335,"Spicy Black Bean with Vegetables soup,",46,12
1336,"Spicy Thai Instant soup, low-fat, President's Choice®",56,17
1337,"Tomato soup, condensed, prepared with water",52,15
1338,"Tomato & Herb, President's Choice® Blue MenuTM",47,7
1339,Vegetable soup (UK)24 6,60,11
1340,"Vegetable Couscous Instant soup, low-fat, President's",57,19
1341,"Vegetarian Chili Instant soup, low-fat, President's",36,10
1342,"Winter Squash, President's Choice® Blue MenuTM",41,5
1343,"Organic Agave Cactus Nectar, light, 90% fructose",11,1
1344,"Organic Agave Cactus Nectar, light, 97% fructose",10,1
1345,"Premium Agave nectar (Sweet Cactus Farms, USA",19,2
1346,50 g portion (China,23,2
1347,"50 g portion (GlucodinTM glucose tablets, Boots,",102,10
1348,46 g Glucose + 15 g apple and orange fiber extract,79,6
1349,Golden Syrup (Australia),63,13
1350,Yellow box (46% fructose) (Australia),35,6
1351,Stringy Bark (52% fructose) (Australia),44,9
1352,Red Gum (35% fructose) (Australia),46,8
1353,Iron Bark (34% fructose) (Australia),48,7
1354,"Capilano Premium Honey, blend of eucalypt & floral",51,11
1355,Yapunya (42 % fructose) (Australia),52,9
1356,"Pure (Capilano Honey Ltd., Richlands, Qld, Australia)",58,12
1357,Leabrook Farms Yellow box honey,60,13
1358,"Commercial Blend (38% fructose) (WA blend,",62,11
1359,Salvation Jane (32% fructose) (Australia)8,64,10
1360,"Clover honey, ratio of fructose: glucose, 1.09",69,15
1361,"Commercial Blend (28% fructose) (NSW blend,",72,9
1362,"Buckwheat honey, ratio of fructose:glucose, 1.12",73,16
1363,"Cotton honey, ratio of fructose:glucose, 1.03",74,16
1364,"Honey, NS type (China)",74,16
1365,"Tupelo honey, ratio of fructose:glucose, 1.54",74,16
1366,"Honey, NS (Canada)8",87,18
1367,50 g portion (China,46,5
1368,50 g portion (Canada) 1,105,11
1369,50 g portion (China),105,11
1370,"Maple flavored syrup (Cottee's Foods, Australia)",68,15
1371,"Maple syrup, pure Canadian (Queen Foods,  Australia)",54,10
1372,50 g portion (South Africa,65,7
1373,50 g portion (China,84,8
1374,"Broad beans, frozen, reheated in microwav",63,3
1375,"Pea, frozen, boiled (Canada)",51,4
1376,"Pea, green (Pisum Sativum) (India)14",54,4
1377,"Butternut pumpkin, boiled (Australia)",51,3
1378,"Pumpkin (Cucurbita moschata), peeled, cubed,",66,12
1379,"Pumpkin, boiled in salted water (South Africa",75,3
1380,"Sweet corn, 'Honey & Pearl' variety (New Zealand)",37,6
1381,Sweet corn (China,55,9
1382,Sweet corn (South Africa),62,11
1383,"Carrots, raw, diced (Australia",35,2
1384,"Carrots, raw, ground (Australia",39,2
1385,"Carrots, peeled, boiled (Sydney, NSW, Australia)",33,2
1386,"Carrots, peeled, diced boiled (Sydney, NSW, Australia)",49,2
1387,"Cassava (Manihot esculenta), peeled, boiled 30 min,  9",94,36
1388,"Parsnips, peeled, boiled (Australia)",52,4
1389,"Potato, white with skin, baked (UK)",69,19
1390,"Irish potato (Solanum tuberosum), peeled,",83,25
1391,"Pontiac, peeled and baked (Australia) 9",93,17
1392,"Potato, white without skin, baked (UK)",98,26
1393,"Charlotte, peeled, quartered, boiled 15 min (UK)",66,15
1394,"Charlotte, boiled (UK) 8",81,19
1395,"Desiree, peeled, boiled 35 min (Australia) 10",101,17
1396,"Estima, peeled, quartered, boiled 15 min (UK)",66,17
1397,"Irish potato (Solanum tuberosum), peeled, cubed,",59,19
1398,"King Edward potato, peeled, quartered,  7",75,21
1399,"Marfona potato, peeled, quartered, boiled 15 min",56,18
1400,"Maris Piper potato, peeled, quartered, boiled 15 min",85,25
1401,"Nicola potato, peeled, quartered, boiled 15 min (UK)",59,9
1402,"Nicola potato, unpeeled, boiled whole for 15 min",58,9
1403,"Pontiac, peeled, boiled 35 min  (Australia)",88,16
1404,"Sebago, peeled, boiled 35 min  (Australia)",87,14
1405,"Type NS, boiled (China)",66,13
1406,"Red potatoes, boiled with skin on in salted water",89,19
1407,"Potato, white, boiled (UK) 9",96,24
1408,"Potato, red, cubed, boiled in salted water 12 min,",56,12
1409,"New, canned, heated in microwave 3 min (Mint Tiny",65,12
1410,"French Fries, baked 15 min (OreIda Golden Fries,",64,21
1411,"Irish potato (Solanum tuberosum), peeled, fried in",70,21
1412,"Instant (Idahoan Foods, Lewisville, ID, USA)",79,16
1413,Instant (Canada) 8,80,16
1414,"Instant (Idahoan Foods, Lewisville, ID, USA)",88,18
1415,"Instant (Idahoan Foods, Lewisville, ID, USA),",92,18
1416,"Instant (Idahoan Foods, Lewisville, ID, USA)",97,19
1417,"Mashed potato, instant (Farmland, Australia)   7",71,17
1418,"Mashed potato, instant (Farmland, Australia)   7",74,18
1419,"Mashed potato, instant (Farmland, Australia)",68,17
1420,Type NS (South Africa) 7,71,14
1421,Type NS (China),73,15
1422,"Desiree potato, mashed (UK) 10",102,26
1423,"Pontiac, peeled, cubed, boiled 15 min, mashed",91,18
1424,"Estima, microwaved 6 min then baked 10 min (UK)",93,24
1425,"Pontiac, peeled and microwave on high",79,14
1426,"Prince Edward Island white potato, cooked in",73,15
1427,"Russet Burbank potato, unpeeled, cooked in",77,19
1428,New (Canada),70,12
1429,"New, unpeeled and boiled 20 min (Australia) 7",78,16
1430,"New potato, boiled (UK)  8",80,18
1431,"Potato, NS type, steamed (China)",62,12
1432,"Potato (Solanum Tuberosum), peeled, steamed 1 h  6",65,18
1433,"California white potatoes, cubed,",72,14
1434,"Sweet potato (Ipomoea batatas), peeled, cubed,",46,15
1435,"Sweet potato, orange flesh, peeled, cut into pieces,",61,11
1436,"Sweet potato, kumara (New Zealand) 7",77,19
1437,"Sweet potato (Ipomoea batatas), peeled,",94,42
1438,"Sweet potato (Ipomoea batatas), peeled,",76,34
1439,"Sweet potato (Ipomoea batatas), peeled, roasted",82,37
1440,"Sweet potato, orange (China)",77,16
1441,"Sweet potato, purple skin white flesh, peeled,",75,22
1442,"Tapioca (Manihot Utilissima), steamed 1 h (India)14 7",70,12
1443,Taro (China),48,4
1444,"Taro, peeled, boiled (New Zealand)",56,4
1445,"Yam, peeled, boiled (New Zealand)",35,13
1446,Yam (China),54,19
1447,"Yam, steamed (China)",51,18
1448,"Coco yam (Xanthosoma spp.), peeled, cubed,",61,28
1449,"Lucea Yam,  peeled, cubed, boiled 30 (Jamaica)",74,20
1450,"Lucea Yam, peeled, roasted on preheated charcoal",77,29
1451,"Negro yam, peeled, cubed, boiled 30 min (Jamaica)",73,23
1452,"Negro yam, peeled, roasted on preheated charcoal",73,28
1453,"Round leaf yellow yam, peeled, cubed, boiled 30 min",68,23
1454,"Round leaf yellow yam, peeled,  roasted on preheated",80,32
1455,"Sweet yam, peeled, cubed, boiled 30 min (Jamaica)",79,20
1456,"Sweet yam, peeled, roasted on preheated charcoal",82,32
1457,"White yam, peeled, cubed, boiled 30 min (Jamaica)",75,24
1458,"White yam, peeled, roasted on preheated charcoal",80,28
1459,Brown beans (South Africa) 24±8,24,6
1460,"Ga kenkey, prepared from fermented cornmeal (Zea mays)",12,7
1461,"Gari, roasted cassava dough (Manihot utilissima)",56,15
1462,"Gram dhal soaked overnight, cooked in salted water  5±3",5,1
1463,"Maize meal porridge, unrefined,  71±6",71,25
1464,"Maize meal porridge, refined,  74±7",74,30
1465,"M'fino/Morogo, wild greens (South Africa)",68,34
1466,"Unripe plantain (Musa paradisiaca) eaten with fish, 40±4 1",40,13
1467,"White rice (Oryza sativa), boiled, eaten with fish,",34,14
1470,Hummus (chickpea salad di,6,0
1471,"Lebanese bread (white, unleaved), hummus,  8",86,39
1472,Stuffed grapevine leaves (rice and lamb stuffing,30,5
1473,"Broken rice, white, cooked in rice cooker",86,37
1474,"Glutinous rice, white, cooked in rice cooker",94,31
1475,"Jasmine rice, white, cooked in rice cooker 10",109,46
1476,Lotus root powder (China,33,3
1477,"Lychee, canned in syrup, drained",79,16
1478,"Mung bean noodles, dried, boiled (China)",39,18
1480,"Rice noodles, fresh, boiled (Sydney, NSW, Australia)",40,15
1482,"Udon noodles, fresh, reheated (Fantastic brand,",62,30
1483,"Banana, (Musa sapientum), Nendra variety,  7",70,31
1484,"Black gram, (Phaseolus mungo), soaked 12 h,",43,8
1485,"Chapatti, flour from malted wheat, moth bean",66,25
1486,"Chapatti, flour made from popped wheat, moth bean",40,14
