,food_name,glycemic_index(GI),sugar
151,"White bread with 15 g Sunfibre, viscosity 1",56,10
152,"White bread with 5 g Sunfibre, viscosity 2",55,9
153,White bread consumed with 5 g Sunfibre (Tai,49,
154,White bread consumed with 10 g Sunfibre (Tai,57,
155,White bread consumed with 10 g insoluble dextr,66,
156,White bread consumed with 10 g inulin (Orafti,67,
157,"White bread, prepared with a 10 min prove and a",38,5
158,"White bread, prepared with a 30 min prove and a",72,9
159,"White bread, prepared with a 60 min prove and a",86,11
160,"White bread, prepared with a 40 min prove, a second",100,13
161,"Fiber WhiteTM (Nature's Fresh,",77,11
162,"WonderwhiteTM (Buttercup Bakeries, Australia)",80,11
163,"Wholemeal flour (Hovis, UK",68,7
164,Wholemeal flour (China,69,9
165,"Wholemeal flour (Sainsbury's, UK)",71,8
166,Wholemeal flour (Canada,72,8
167,"Wholemeal flour (Hovis, UK",74,8
168,Wholemeal flour (South Africa,75,9
169,"Wholemeal flour (Tip Top Bakeries, Australia",77,9
170,"Wholemeal flour (Tip Top Bakeries, Australia)",78,9
171,Wholemeal flour (France),85,13
172,"Wholemeal bread, stoneground flour (Bill's Organic",59,7
173,"Wholemeal flour, stoneground (Waitrose, UK)",66,8
174,Bakers DelightTM Hi Fibre Lo GI white bread,52,8
175,Bakers DelightTM Wholemeal Country Grain brea,53,6
176,BürgenTM Mixed Grain,34,4
177,BürgenTM Mixed Grain,45,5
178,BürgenTM Mixed Grai,52,5
179,BürgenTM Oat Bran & Honey Loaf with Barle,31,3
180,BürgenTM Oatbran & Honey bread,49,5
181,"BürgenTM Pumpkin Seed bread, containing 6%",49,4
182,"Bürgen® Soy-Lin, kibbled soy (8%) and linseed (8%",36,3
183,Bürgen® Wholmeal & Seeds,39,2
184,"Crusty malted wheat bread (Finest, UK",52,7
185,"English MuffinTM bread (Natural Ovens, USA)",77,11
186,"English Muffin, Whole Grain Multigrain,",45,5
187,Golden HearthTM Organic Heavy Wholegrain bread,53,7
188,Healthy ChoiceTM Hearty 7 Grain,55,8
189,Healthy ChoiceTM Hearty 100% Whole Grain,62,9
190,"Helga'sTM Classic Seed Loaf (Quality Bakers,",68,9
191,Helga'sTM Traditional Wholemeal bread,70,9
192,"Hunger FillerTM, whole grain brea",59,7
193,"Malt loaf, organic (UK)",59,12
194,"MolenbergTM (Goodman Fielder, Auckland,",75,11
195,"Multigrain bread (Sainsbury's, UK)",80,8
196,Multigrain batch bread (UK,62,9
197,"9-Grain Multi-Grain (Tip Top Bakeries, Australia",43,6
198,"Multigrain Loaf, spelt wheat flour (Australia)",54,8
199,Multiseed bread (UK,54,7
200,"Nutty NaturalTM, whole grain bread",59,7
201,"PerformaxTM (Country Life Bakery, Australia",38,5
202,"Ploughman'sTM  Wholemeal, smooth milled",64,9
203,Seeded bread (UK,49,6
204,"Sourdough Vienna bread, Bakers DelightTM",66,10
205,Soy & Linseed bread (made from packet mix cooke,50,5
206,"Stay TrimTM, whole grain bread (Natural Ovens, USA)",70,10
207,"3 Grain Bread, sprouted grains (Stonemill Bread",55,5
208,"Vogel's Honey & Oats (Stevns & Co, Sydney, Australia",55,8
209,Vogel's Wonder White 'Low GI' white brea,54,6
210,"100% Whole GrainTM bread (Natural Ovens, USA)",51,7
211,"Lebanese bread, white (Seda Bakery, Sydney, Australia)",75,12
212,"Pita bread, white, mini (UK)",68,10
213,"Pita bread, wholemeal (UK)",56,8
214,"All-BranTM (Kellogg's Inc., Canada)",51,12
215,"All-BranTM (Kellogg's, Battle Creek, MI, USA)",55,12
216,"All-Bran Fruit 'n OatsTM (Kellogg's, Australia",41,7
217,"All-Bran Soy 'n fiberTM (Kellogg's, Australia",33,4
218,"All-Bran Wheat FlakesTM (Kellogg's, Australia)",60,12
219,"BalanceTM (Sainsbury's, UK)",74,17
220,Barley flakes (China),69,14
221,"Bran cereal, high fiber (UK)",43,5
222,"Branflakes (Healthy Living, UK)",50,10
223,"Bran Flakes, President's Choice® Blue MenuTM",65,12
224,"ChocapicTM, wheat-based flaked cereal (2003)",70,17
225,"ChocapicTM, wheat-based flaked cereal (2003)",74,19
226,"ChocapicTM, wheat-based flaked cereal (2003)",84,22
227,"Coco PopsTM (Kellogg's, Australia)",77,20
229,Cornflakes (China),74,19
230,Cornflakes (China),79,20
231,"CornflakesTM (Kellogg's Inc., Canada)",80,21
232,"Cornflakes (Kellogg's, UK)",93,23
233,"Cornflakes, Crunchy NutTM (Kellogg's, Australia)",72,17
234,"Corn PopsTM (Kellogg's, Australia)",80,21
235,"Energy MixTM, wheat-based flaked cereal",80,20
236,"Fibre First Multi-Bran Cereal, President's Choice®",56,6
237,"Froot LoopsTM (Kellogg's, Australia)",69,18
238,"Fruit and FibreTM (Sainsbury's, UK)",61,13
239,Fruit and Fibre (UK),67,14
240,"Fruit and Fibre (Value, UK)",68,13
241,"Fruity-BixTM, berry (Sanitarium, New Zealand) 1",113,25
242,"Golden WheatsTM (Kellogg's, Australia)",71,16
243,"Granola Clusters, Original, low fat,",63,14
244,"Granola Clusters, Raisin & Almond, low fat,",70,15
245,"GrapenutsTM (Kraft Foods Inc, Port Chester, USA)",75,16
246,"GuardianTM (Kellogg's, Australia",37,5
247,"HealthwiseTM for bowel health (Uncle Toby's,",66,12
248,High-fiber cereal (UK,52,9
249,"Hi-LiteTM, containing 55% rolled barley grains",54,10
250,"Honey Rice BubblesTM (Kellogg's, Australia)",77,20
251,"Honey SmacksTM (Kellogg's, Australia)",71,16
252,"Hot cereal, apple & cinnamon (Con Agra Inc, USA",37,8
253,"Hot cereal, unflavored (Con Agra Inc., USA",25,5
254,"Just RightTM (Kellogg's, Australia)",60,13
255,"Just Right Just GrainsTM (Kellogg's, Australia)",62,14
256,Kashi Seven Whole Grain Puffs,65,16
257,"KompleteTM (Kellogg's, Australia)",48,10
258,"Mini WheatsTM (Kellogg's, Australia)",58,12
259,"Mini Wheats (Sainsbury's, UK)",59,12
260,"Mini WheatsTM, blackcurrant (Kellogg's, Australia)",72,15
261,"Alpen original muesli, made from steamed rolled oats",55,11
262,Bürgen® Soy-LinTM Muesli,51,9
263,"Muesli (Value, UK)",64,12
264,Muesli (Canada),66,16
265,"Muesli (Healthy Eating, UK)",86,18
266,"Muesli, fruit (UK)",67,14
267,"Muesli, fruit and nut (UK)",59,11
268,"Muesli, gluten-free with Psyllium",50,5
269,"Muesli, Light, mixed berry & apple flavor,",64,13
270,"Muesli, Lite (Sanitarium, New Zealand)",54,10
271,"Muesli, Morning Sun Natural Apricot & Almon",49,6
272,"Muesli, Natural (Sanitarium, Australia",40,8
273,"Muesli, Natural (Sanitarium, New Zealand)",57,11
274,"Muesli, Natural Style Original Swiss Formula",62,11
275,"Muesli, Naytura Fruit and Nut",48,7
276,"Muesli, Swiss Bircher (Woolworths Limited, Australia",52,9
277,"Muesli, Swiss Formula (Uncle Toby's, Australia",56,9
278,"Muesli, toasted, with nuts (Australia)",65,11
279,"Muesli, wholewheat (UK)",56,10
280,"Muesli, yeast & wheat free (Freedom Foods, Australia",45,4
281,Vogel's Café Style Fibre-Rich Muesli,48,9
282,"NutrigrainTM (Kellogg's, Australia)",66,10
283,"15 g Oat bran (containing 2 g β-glucan), consume",84,2
284,"30 g Oat bran (containing 4 g β-glucan), consumed",58,2
285,"30 g Oat bran (containing 4 g β-glucan), consumed",64,2
286,"45 g Oat bran (containing 6 g β-glucan), consumed",64,2
287,"Oat 'n Honey BakeTM (Kellogg's, Australia)",77,13
288,"Oats, rolled, uncooked (Lowan's Whole Foods,",59,11
289,"Porridge, made from rolled oats cooked for 20 min",49,11
290,"Porridge oats (Freedom Foods, Australia)",50,10
291,Traditional porridge oats,51,11
292,"Porridge, made from steel-cut oats, cooked in water",52,17
293,Porridge (China),55,13
294,"Traditional Rolled Oats (Woolworths Limited, Australia)",57,11
295,"Old-Fashioned Steel Cut Oats, President's Choice®",57,14
296,"Porridge (Hubbards, New Zealand)",58,12
297,Porridge (Australia),58,12
298,"Porridge (Value, UK) 6",63,19
299,"Porridge, organic (UK) 6",63,18
300,"Porridge, Scottish (UK)",63,20
301,"Multi grain instant oatmeal, Regular and Cinnamon",55,14
302,"Multigrain porridge, containing rolled oats, wheat,",55,19
303,"Oat porridge made from 0.5-0.6 mm thick flakes,",76,19
304,Instant porridge (China),69,14
305,"Instant oat porridge, cooked in microwave 8",82,20
306,"Instant oatmeal porridge, made from packet (China)",83,18
307,Instant oat cereal porridge prepared with water (UK) 8,83,30
308,"Pop TartsTM, Double Chocolate (Kellogg's, Australia)",70,25
309,"Puffed Wheat (Sanitarium, Australia)",80,17
310,"Raisin BranTM (Kellogg's, USA)",61,12
311,"Rice Bran, extruded (Rice Growers Co-Operative Ltd,",19,3
312,"Rice BubblesTM (Kellogg's, Australia)",85,22
313,"Rice BubblesTM (Kellogg's, Australia)",92,24
314,Shredded Wheat (Canada),67,13
315,"Soy Crunch Multi-Grain Cereal, President's Choice",47,9
316,"Special KTM (Kellogg's, Australia)",54,11
317,"Special KTM (Kellogg's, USA)",69,14
318,"Special KTM, made from rice (Kellogg's, France)",84,20
319,"Soy TastyTM (flaked grains, soy nuts, dried fruit)",60,12
320,"SoytanaTM, Vogel's, soy and linseed bran crunch",49,12
321,"Sultana BranTM (Kellogg's, Australia) (2007)",64,12
322,"Sultana BranTM (Kellogg's, Australia) (1997)",73,14
323,"SustainTM, Original (Kellogg's, Australia) (2007)",55,12
324,"Ultra-branTM, Vogel's, soy and linseed extruded",41,5
325,"Vogel's Cluster Crunch Classic (Specialty Cereals,",50,10
326,"Vogel's Cluster Crunch, Honey Hazelnut",43,8
327,Wild Oats Cluster Crunch Hazelnut Chocolat,43,8
328,"Wheat-bitesTM (Uncle Toby's, Australia)",72,18
329,"Vita-BritsTM (Uncle Toby's, Australia)",68,13
330,"Weet-BixTM (Sanitarium, Australia)",69,12
331,WeetabixTM (Weetabix of Canada Ltd.),75,16
332,"Whole wheat GoldiesTM (Kellogg's, Australia)",70,14
333,Wheat based cereal biscuit (UK),72,14
334,"Good StartTM, muesli wheat biscuits",68,14
335,"Hi-Bran Weet-BixTM, wheat biscuits with extra",61,10
336,Hi-Bran Weet-BixTM with soy and linsee,57,9
337,Honey GoldiesTM (Kellogg's Australia),72,15
338,"Lite-BixTM, plain, no added sugar",70,14
339,"Oat bran Weet-BixTM (Sanitarium, Australia)",57,11
340,Sultana GoldiesTM (Kellogg's Australia),65,13
341,"Branflakes (Sainsbury's, UK), with semi-skimmed milk",76,15
342,"Cereal flakes with fruit (30 g), consumed with 125 mL",57,16
343,Cocoa Crunch cereal (30 g) with 125 mL skim milk (UK) 5,58,16
344,"Cornflakes (Sainsbury's, UK) (30 g), consumed with",65,16
345,"Honey Crunch cereal (30 g), consumed with",54,16
346,"Hot oat cereal (30 g), berry flavor (UK)",43,11
347,"Hot oat cereal (30 g), cocoa flavor (UK)",40,9
348,"Hot oat cereal (30 g), fruit flavor (UK)",47,12
349,"Hot oat cereal (30 g), honey flavor (UK)",47,12
350,"Hot oat cereal (30 g), orchard fruit flavor (UK)",50,12
351,Hot oat cereal (30 g) (UK),47,11
352,Hot oat cereal (30 g) (UK),40,9
353,"Muesli, gluten-free (Freedom Foods, Australia)",39,7
354,"Muesli, Original (Sainsbury's, UK), consumed",60,11
355,"Muesli, Swiss (Sainsbury's, UK), consumed with",60,12
356,"Muesli, Wheat free (Pertwee Farm's, UK), consume",49,9
357,"Porridge, jumbo oats (Sainsbury's, UK), consumed",40,9
358,"Porridge, small oats (Sainsbury's, UK), consumed",61,14
359,"PreciseTM (Sainsbury's, UK), with semi-skimmed milk",59,14
